page_text,source_file,page_number
"Exploring N-Back Cognitive Training for Children With ADHD
Masha R. Jones1, Benjamin Katz2, Martin Buschkueh1,3, Susanne M. Jaeggi1, and Priti 
Shah4
1University of California–Irvine, USA
2Virginia Tech, Blacksburg, USA
3MIND Research Institute, Irvine, CA, USA
4University of Michigan, Ann Arbor, USA
Abstract
The efficacy of n-back training for children with Attention Deficit Hyperactivity Disorder 
(ADHD) was tested in a randomized controlled trial. Forty-one children aged 7–14 with ADHD 
trained on an n-back task, and their performance was compared with that of an active control 
group (n = 39) who trained on a general knowledge and vocabulary task. The experimental group 
demonstrated transfer of training to a non-trained n-back task as well as to a measure of inhibitory 
control. These effects were correlated with the magnitude of training gains. Our results suggest 
that n-back training may be useful in addressing some of the cognitive and behavioral issues 
associated with ADHD.
Keywords
Inhibition; attention; working memory training; cognitive functioning; transfer
Attention Deficit Hyperactivity Disorder (ADHD) is a developmental disorder characterized 
by inattention, hyperactivity, and impulsive behavior. It is common; the National Survey of 
Children’s Health found that in 2011, 11% of US children ages 4–17 (i.e., 6.4 million) had 
ever been diagnosed with ADHD and 9% of children had a current diagnosis of ADHD 
(Visser et al., 2014 ) though prevalence rates vary across studies and hover around 6% in 
international samples ( Moffitt et al., 2015 ; Polanczyk, Willcutt, Salum, Kieling, & Rohde, 
2014 ). ADHD symptoms typically arise early in life (median age of diagnosis is 6 years; 
Visser et al., 2014 ), generally continue through adolescence, and persist into adulthood for 
30–60% of individuals diagnosed ( Barkley, 1997 ; Barkley, Fischer, Smallish, & Fletcher, 
2002 ; Faraone, Biederman, & Mick, 2005 ; Matte et al., 2015; Moffit et al., 2015 ). 
Approximately 80% of children with ADHD have academic performance problems and have 
a higher incidence of grade retention and dropping out of school compared to children 
without ADHD ( DuPaul & Stoner, 2014 ). As a result, ADHD often contributes to academic, 
social, and employment difficulties throughout the lifespan ( Barkley et al., 2002 ). Given the 
Corresponding Author: Masha R. Jones, University of California Irvine, 3200 Education Bldg, Irvine, CA 92697, USA. 
m.jones@uci.edu. 
HHS Public Access
Author manuscript
J Atten Disord . Author manuscript; available in PMC 2019 December 01.
Published in final edited form as:
J Atten Disord . ; : 1087054718779230. doi:10.1177/1087054718779230.
Author Manuscript Author Manuscript Author Manuscript Author Manuscript",paper1.pdf,1
"prevalence of ADHD, the chances are high that classrooms with 20 or more students include 
at least one individual with ADHD ( Abikoff et al., 2002 ). Because children with ADHD can 
be disruptive, learning of all students in the classroom can be affected (August et al., 1996). 
Thus there is a strong, practical need for the development of effective interventions to 
mitigate the symptoms and consequences of ADHD.
Though there are many facets to ADHD, the present study focuses primarily on working 
memory, inhibition, and the ADHD behaviors associated with those executive functions. 
Children with ADHD show impairments on a variety of working memory-related and 
executive control tasks. On average, children with ADHD perform worse than typically 
developing children on standard working memory tasks ( Karatekin & Asarnow, 1998 ; 
McInnes, Humphries, Hogg-Johnson, & Tannock, 2003 ; Sonuga-Barke, Dalen, Daley, & 
Remington, 2002 ; Westerberg, Hirvikoski, Forssberg, & Klingberg, 2004 ), and a number of 
studies have documented impairments among children with ADHD in executive function 
tasks, including the Wisconsin Card Sorting Test ( Pineda et al., 1998 ; Reeve & Schandler, 
2001 ), verbal fluency tasks ( Pineda et al., 1998 ), the Stroop task ( Reeve & Schandler, 2001 ), 
task-switching ( Cepeda, Cepeda, & Kramer, 2000 ; White & Shah, 2006 ), and the Tower of 
London task ( Cornoldi, Barbieri, Gaiani, & Zocchi, 1999 ). This is likely due to lower 
working memory capacity and reduced cognitive control in individuals with ADHD. As 
inhibitory and working memory skills are implicated in scholastic and non-scholastic 
achievement ( Friso-Van Den Bos, Van Der Ven, Kroesbergen, & Van Luit, 2013 ; Mcvay & 
Kane, 2012 ; St Clair-Thompson & Gathercole, 2006 ), interventions specifically targeting 
these mechanisms could be of great benefit for children with ADHD.
Interventions for ADHD
There are various approaches for ameliorating the challenges associated with ADHD; the 
most common method is stimulant medication. There are also non-pharmacological 
strategies such as behavioral interventions and cognitive training; some of these methods are 
often used in combination with stimulant medication.
Medication.
Although medication can be of great help, they are ineffective for up to 30% of individuals 
with ADHD ( Banaschewski, Roessner, Dittmann, Santosh, & Rothenberger, 2004 ). 
Furthermore, though ADHD medications are often seemingly effective in laboratory 
contexts, they seem to have less impact on everyday functional outcomes ( Pelham et al., 
2017 ). In addition, they are often associated with side effects such as reduced appetite and 
sleep disturbances ( Banaschewski et al., 2004 ). For these and other reasons, approximately 
20% of individuals with ADHD cease stimulant use within the first year of taking them 
(Toomey, Sox, Rusinak, & Finkelstein, 2012 ). It is not our aim to report a thorough overview 
on this topic, but interested readers may refer to Rubia et al. (2014)  for a meta-analysis.
Behavioral Therapy.
The most widely used non-pharmacological interventions for children with ADHD is 
behavioral management therapy (Evans, Owens, & Bunford, 2013; Wolraich et al., 2011 ). In Jones et al. Page 2
J Atten Disord . Author manuscript; available in PMC 2019 December 01.
Author Manuscript Author Manuscript Author Manuscript Author Manuscript",paper1.pdf,2
"these interventions, teachers (behavioral classroom management), or parents (behavioral 
parent therapy) are taught to reinforce children when they perform a desired behavior and to 
ignore undesired behaviors. This approach helps children to learn self-regulation skills, with 
typical outcomes including improved compliance to parent and teacher directions, as well as 
decreased disruptive behavior in the classroom. While behavioral therapies are generally 
considered the most effective non-pharmacological approaches for addressing ADHD 
symptomatology (Evans et al., 2013; Fabiano et al., 2009 ), many issues prevent these 
interventions from being available and effective for all children. Behavioral therapies can 
incur significant financial and time investments. Furthermore, new meta-analytic work 
suggests that although behavioral therapies may be successful in individual studies, a variety 
of factors related to both the design of the intervention and individual difference factors 
across participants may limit their effectiveness ( Sonuga-Barke et al., 2013 ).
Cognitive Training.
Another approach to treat ADHD is the use of “cognitive training” programs aimed at the 
core executive function deficits associated with ADHD. This approach is attractive in that, if 
effective, it may be lower in cost in terms of time, money, and potential side effects. Indeed, 
a recent meta-analysis of cognitive training ( Cortese et al., 2015 ) and non-pharmacological 
interventions for ADHD more broadly ( Sonuga-Barke et al., 2013 ), cognitive training was 
identified as an area that requires further exploration. As such, our study contributes to the 
growing literature on cognitive training interventions for individuals with ADHD. Currently, 
the most widespread and highly researched cognitive intervention for ADHD is Cogmed 
working memory training (CWMT), an online working memory training program that 
targets primarily the storage aspects of both verbal and visuospatial working memory. It is 
marketed to schools and clinicians as a tool for improving cognitive abilities, such as 
attention and reasoning ( Roberts et al., 2016 ). Some studies of CWMT in children with 
ADHD have shown improvements in ADHD-related symptoms as a function of training 
(Beck, Hanson, Puffenberger, Benninger, & Benninger, 2010 ; Klingberg et al., 2005 ; 
Klingberg, Forssberg, & Westerberg, 2002 ; Mezzacappa & Buckner, 2010 ), and a recent 
study by Bigorra, Garolera, Guijarro, and Hervas (2016)  demonstrated reductions in 
inhibitory control, as measured by CPT errors of commission. However, others have failed to 
replicate those findings, leading to conflicting reviews and meta-analyses ( Chacko et al., 
2013 ; van der Donk, Hiemstra-Beernink, Tjeenk-Kalff, van der Leij, & Lindauer, 2015; 
Shipstead, Hicks, & Engle, 2012 ). Additional challenges regarding CWMT include lengthy 
sessions (approximately 40 minutes per day over the course of 5 weeks), the necessity of a 
coach, and the significant cost ( Chacko et al., 2014 ).
Other cognitive training work has attempted to target inhibition directly. Shavlev, Tsal, & 
Mevorach (2002) , found improvements in attention and academic outcomes following an 
attentional control training program. Conversely, a recent large, randomized controlled trial 
of inhibitory control training found no evidence for training and transfer effects ( Enge et al., 
2014 ). Although some of the evidence is mixed, it may remain possible to train inhibition, 
especially if it occurs in combination with training working memory, as there seems to be 
considerable overlap between the domains of working memory and inhibitory control ( Hsu, 
Jaeggi, & Novick, 2017 ). Specifically, we have demonstrated transfer to inhibition via an Jones et al. Page 3
J Atten Disord . Author manuscript; available in PMC 2019 December 01.
Author Manuscript Author Manuscript Author Manuscript Author Manuscript",paper1.pdf,3
"inhibition and working memory-demanding executive functioning task, the n-back task, in 
young adults ( Hsu, Buschkuehl, Jonides, & Jaeggi, 2013 ) and typically developing children 
(Jaeggi, Buschkuehl, Jonides, & Shah, 2011 ). The n-back task requires participants to 
respond to a series of stimuli by judging whether each stimulus is the same as the one 
presented n-items previously. The n-back task requires both active maintenance and updating 
of items in working memory as well as deleting items that are further back in a sequence. It 
also requires inhibiting responses to near target items, or lures. In Jaeggi and colleagues 
(2011) , inhibition was measured by the Conners’ Continuous Performance Task (CPT), 
which requires children to respond to all alphabetic letters appearing intermittently on a but 
withhold responses to the letter “X.” On average, children in the n-back training group 
exhibited fewer errors of commission compared to peers in a control condition. These results 
suggest that n-back training may be especially beneficial for children with ADHD, given 
that they are thought to suffer from underlying issues of inhibitory control. Furthermore, the 
CPT is often used as a diagnostic measure for ADHD in neuropsychology testing (e.g., 
Corkum & Siegel, 1993 ).
Based on the previous work in this domain, the goal of the present study was to examine 
whether training on the n-back task would improve the response inhibition skills of children 
with ADHD. Children with ADHD trained on a visuospatial version of the n-back task that 
was previously used with typically developing children ( Jaeggi, Buschkuehl, Jonides, Shah, 
et al., 2011 ). The participants’ performance was compared with that of an active control 
group that trained on vocabulary and general knowledge. Based on our prior work finding 
improvements on measures of response inhibition in typically-developing children and 
young adults, our primary hypothesis was that children with ADHD would also show 
improvements in response inhibition as measured by the CPT. Furthermore, because 
inhibitory control is purported to be a mechanism underlying self-regulation and cognitive/
achievement deficits in children with ADHD, we expected training on the n-back task may 
also lead to decreased ADHD symptoms (as measured by parent report) and improved 
academic ability (as measured by performance on math and reading measures from the 
Woodcock Johnson III; Woodcock, McGrew, & Mather, 2003 ). Such a result would inform 
developing theories of cognitive training, offer support for theories implicating low 
inhibitory control as a contributor to ADHD, and provide preliminary evidence of the 
efficacy of n-back training as a useful intervention for children with ADHD. We also 
assessed general knowledge at posttest and delayed posttest as a control measure. For this 
task, which was largely identical to the training performed by the control group, we 
predicted that the control group would outperform the training group at delayed posttest.
Previous work has demonstrated improvements in working memory and fluid reasoning in 
typically-developing young adults following n-back training ( Au, Sheehan, et al., 2015 ; Au, 
Buschkuehl, Duncan, & Jaeggi, 2016 ). And furthermore, typically-developing children who 
showed improvement on the n-back task also demonstrated improvements on measures of 
fluid reasoning ( Jaeggi, Buschkuehl, Jonides, Shah, et al., 2011 ). We predicted that the 
training group in our study might outperform the control group on measures of working 
memory and fluid reasoning, however, fluid reasoning was considered exploratory, as there 
has been only limited evidence of fluid reasoning improvements in samples of children with Jones et al. Page 4
J Atten Disord . Author manuscript; available in PMC 2019 December 01.
Author Manuscript Author Manuscript Author Manuscript Author Manuscript",paper1.pdf,4
"learning or attention disorders. Based on our previous work, we also tested whether 
performance may be related to quality of training on the n-back task.
Children were assessed before training, immediately after training, and again after a three-
month delay. The purpose of the immediate posttest was to test for immediate changes as a 
result of training, and the purpose of the delayed posttest was twofold: to see whether any 
immediate changes could be sustained over time and to see whether any changes would 
manifest after a delay even if they were not measurable at immediate posttest. If improved 
inhibition leads to improved self-regulation, such changes may not be detectable in parent 
reports of ADHD symptomology without some period of time post-training. Likewise, if 
improved inhibition is beneficial for learning, and such changes may not have time to be 
reflected in achievement till students can use their enhanced inhibitory control skills in 
learning situations. Indeed, other cognitive interventions that impact academic achievement 
often do so only after delay (e.g., Klauer & Phye, 2008 ).
Finally, there is evidence that in cognitive training not all participants benefit equally from 
training ( Hussey & Novick, 2012 ; Katz, Jones, Shah, Buschkuehl, & Jaeggi, 2016; Jaeggi et 
al., 2011 ). Those who perform well on the training task tend to benefit more from the 
training, demonstrating greater improvements on untrained tasks such as reasoning and 
reading comprehension ( Hussey & Novick, 2012 ; Jaeggi, et al., 2011 ). It is possible that 
others lack interest during training, or that they experience difficulty coping with the 
frustrations of the task as it became more challenging. The latter explanation is particularly 
likely in the case of children with ADHD, who tend to struggle with overcoming frustration 
(Seymour, Macatee, & Chronis-Tuscano, 2016 ). Accordingly, we predicted that the children 
with ADHD in our sample would vary in terms of training task performance, and that the 
training task performance would be related to performance on transfer tasks and parent 
report measures.
Method
Participants
This study was approved by the appropriate ethics committee and performed in accordance 
with the ethical standards laid down in the 1964 Declaration of Helsinki and its later 
amendments. One hundred and eight children with ADHD from the communities around the 
University of Michigan were recruited to participate in the study via fliers and 
advertisements posted in primary care offices, schools and local newspapers. Parents were 
told that children would participate in a training protocol that might improve attention and 
problem solving skills. The only compensation for participants were small prizes (e.g., 
tickers, pencils, or small stuffed animals.). Informed consent was obtained from all 
individual participants included in the study. Most children were from upper middle-class 
backgrounds (see Table 1). Seven were excluded due to comorbid diagnoses in addition to 
ADHD (e.g., autism). For data analyses, we included only participants who completed at 
least 15 out of 20 training sessions and who trained for at least 4 weeks, but not longer than 
6 weeks, and who had no major training or posttest scheduling irregularities (such as 
training three times per day instead of once a day). Based on those criteria, we excluded 
twenty-one children for failure to comply with the training schedule. Our final sample Jones et al. Page 5
J Atten Disord . Author manuscript; available in PMC 2019 December 01.
Author Manuscript Author Manuscript Author Manuscript Author Manuscript",paper1.pdf,5
"consisted of 80 children ( mean age : 10.14 years; SD: 2.02; range : 7–14; 25 girls). All 
participants met diagnostic criteria on the The Conners’ Parent Questionnaire – Revised: 
Long Form (CPRS–R:L; Conners, Sitarenios, Parker, & Epstein, 1998 ; Conners, 2001 ) or 
the The Child Behavior Checklist (CBCL; Achenbach, 1991 ; Chang, Wang, & Tsai, 2016 ). 
Additionally, all participants had been diagnosed with ADHD by a clinician (i.e., 
pediatrician, psychologist or psychiatrist), according to Diagnostic and Statistical Manual of 
Mental Disorders ( DSM-IV Diagnostic and Statistical Manual of Mental Disorder, 1994 ) 
criteria. Although the ADHD diagnoses made by clinicians were not standardized across 
participants, we chose this present approach as it is representative for how ADHD is 
typically diagnosed in the community, and furthermore, our main goal was to test the 
efficacy of our intervention in an ecologically valid context. Participants could be no 
younger than seven, as the control task required participants to read at a somewhat fluent 
level. Participants could also be no older than 14, as the task design and background stories 
of the intervention were created with younger children in mind, and might not have been 
appropriately engaging for older adolescents.
As they were recruited, participants in the two groups were continuously matched on 
measures of fluid reasoning (TONI and SPM), age, gender and ADHD symptom severity (as 
measured by parent rated CPRS–R:L Comprehensive Behavior Rating Scales) by a 
researcher who was neither involved in testing nor in training of the participants. Based on 
this matched pairing, participants were randomly assigned to one of two conditions: n-back 
training (n=41) or an active knowledge training control condition (n=39). Of these 
participants, 19 in the training group and 15 in the control group were actively taking 
medication for ADHD. See table 1 for full demographic information.
Procedure
Participants came to the lab for two 60-minute sessions to complete pretest measures. Pretest 
measures included tasks that were structurally similar to the training tasks (termed “near 
transfer”), tasks that were dissimilar to the training tasks (“far transfer”), and parent report 
measures. Participants were required to train at home once per day for 20 sessions with 
parent supervision, and in addition, children came to train in the lab, a library, or another 
public place once a week for a researcher-supervised training session (16 sessions at home, 4 
sessions supervised, over the course of about 5 weeks). The children returned for a posttest 
session immediately following training completion, and they returned again for a second, 
delayed posttest to complete the same measures three months later to discern whether any 
differences between groups persisted over time.
All pretest, posttest, and delayed posttest descriptive statistics along with re-test reliability 
estimates and effect sizes are provided in the supplemental online material (SOM) tables 1–
3.
Measures
N-Back Training.— Participants in the experimental condition trained on a game-like 
computerized cognitive training task similar to that used in previous studies with typically 
developing children ( Jaeggi, Buschkuehl, Jonides, Shah, et al., 2011 ). This spatial n-back Jones et al. Page 6
J Atten Disord . Author manuscript; available in PMC 2019 December 01.
Author Manuscript Author Manuscript Author Manuscript Author Manuscript",paper1.pdf,6
"task presented participants with images at one of six locations on the screen at a rate of three 
seconds each, each image presented for 500 ms followed by a 2,500 ms interstimulus 
interval. The participants’ task was to decide whether a stimulus appeared at the same 
location as the one presented n items back in the sequence. Participants pressed the ‘A’ key 
each time the current image was in the same location as the one presented n items previously 
(targets) and the ‘L’ key if the image did not match (non-targets). There were five randomly 
positioned targets per block of trials, and each block included 15 + n trials. Each training 
session consisted of 10 rounds lasting approximately one minute each. Participants were 
provided with performance feedback at the end of each round as well as at the end of the 
training session. A complete training session lasted approximately 15 minutes.
The levels in the game corresponded to the n back that the participant had to remember. The 
n was adaptive, such that successfully completing a round at a particular level (three or 
fewer errors) resulted in the next round being more difficult by increasing the level of n, 
whereas poor performance (four or more errors) resulted in “losing a life.” At the end of 
each round, points were calculated and awarded in the form of virtual gold coins. At higher 
levels that were more challenging, more points were awarded per correct response and more 
points could be earned per round. If three lives were lost on a same level, the player would 
be moved down one level and receive three more lives. Moving down a level was not 
intended as a penalty, but rather as a means to keep the difficulty of the game within the 
participants’ level of maximum ability.
Control Training.— Participants in the active control training group completed a general 
knowledge and trivia program as used before (Jaeggi, Buschkuehl, Jonides, Shah, et al., 
2011), in which they answered questions about vocabulary, history, and general-knowledge 
facts. Time on task and reinforcers were similar as time for the n-back training group. 
Questions such as “What is Orion’s Belt?” were presented and participants selected from 
four answer alternatives shown below the question. Participants were provided with 
feedback on their performance, and questions which were answered incorrectly were 
repeated in the next session. This game also had levels and was adaptive, but only minimally 
implicated working memory or controlled attention.
There were four different themes in both the n-back and the control training. The themes 
were implemented in order to make the training task more interesting for children. After five 
training sessions, the theme would automatically switch to the next one. The general training 
features (e.g., levels, bonuses, scores) would stay the same regardless of the presented 
theme. While playing the games at home, the child would be earning points and virtual gold 
coins, which he or she would later be able to trade in for trivial prizes (stickers, pencils, 
stuffed animals, etc.) after the supervised training sessions. Participants received no other 
compensation.
Near Transfer Tasks.— The participants completed an untrained (non-spatial/identity) 
version of the n-back task as previously used ( Katz, Jaeggi, Buschkuehl, Stegman, & Shah, 
2014 ), in which they were presented with a series of colored objects (e.g. a penguin, a 
flower, a lemon) in the center of the screen, and they had to indicate whether or not the 
current stimulus was the same as the one n positions back in the sequence. Unlike the Jones et al. Page 7
J Atten Disord . Author manuscript; available in PMC 2019 December 01.
Author Manuscript Author Manuscript Author Manuscript Author Manuscript",paper1.pdf,7
"training task, which was adaptive, the n-back level was fixed at 2-back, and children 
completed only three rounds (20+n trials each). The fixed level of n-back was chosen based 
on our previous work with typically developing children ( Jaeggi et al., 2011 ), showing that 
this task at that level and using those stimuli is adequate in terms of difficulty, in that we 
were expecting enough variability allowing us to assess transfer. The fixed level also allowed 
us to assess participants’attention and impulsivity (noticing and rejecting lure trials) in 
addition to working memory. The dependent variable was the proportion of hits minus the 
proportion of false alarms. This task was administered at pretest, posttest, and at delayed 
posttest. Participants also completed a multiple-choice quiz similar to the control training 
task. This was included as a near transfer task for the control group and a control task for the 
n-back training group as we did not predict improvements in general knowledge as a 
function of cognitive training. This quiz was administered at posttest and at delayed posttest 
only.
Cognitive Far Transfer Tasks.— These measures were administered at pretest, posttest, 
and delayed posttest. We used the CPT to assess sustained attention and inhibitory control 
by having participants respond as quickly as possible to stimuli (letters; go trials), but to 
withhold responses for a small percentage of trials (i.e., upon presentation of the letter “X”; 
no-go trials). The letters were presented in the center of the screen (white on black 
background) for a duration of 250 ms. Our task was modeled after Conners et al., (2003) , 
consisting of 18 blocks with 20 trials each (360 total trials). Each block differed in the 
duration of the interstimulus interval, which was 1,000, 2,000, or 4,000 ms long. The order 
of the blocks was randomized. The ratio of go- vs. no-go trials was 9:1. Our dependent 
measure was false alarm rates. Split-half reliability for the CPT has been reported as 0.83 
(range 0.66 to 0.95; Conners et al., 2000 ; 1994 ).
All participants completed two verbal working memory measures that were not n-back tasks. 
For analyses, a composite score of working memory was created using standardized z-scores 
averaged from both tasks, i.e. Digit Span (forward and backward) and Following Directions. 
The digit span required participants to read lists of digits and repeat them either in order 
(forward digit span) or in the reverse order of presentation (backward digit span; Wechsler, 
2003 ). List lengths varied from two to nine (two trials per list length), and the task was 
ended if participants failed at both trials of a particular list length. The dependent variable 
was the number of correctly recalled sequences. Parallel-test versions (counterbalanced 
across participants) were used for pre- and posttest, however, for the delayed posttest, the 
version used at pretest was administered. In the following directions task ( Gathercole, 
Durling, Evans, Jeffcook, & Stone, 2008 ), participants were seated in front of an array of 
familiar objects (boxes, folders, pencils, rulers, erasers) in three different colors (blue, 
yellow, and red). Participants were asked to execute a spoken instruction such as “Pick up 
the blue pencil and put it in the yellow box.” The task instructions became increasingly 
complex (i.e., containing more actions) throughout the measure, up to a level when the 
participant made three consecutive errors within one level of complexity. The number of 
actions ranged from one to seven (levels 1–7), and each level contained six trials. The 
dependent variable was calculated as the sum of the number of actions in sequence that the 
child could accurately complete all trials of, plus 0.25 for each correct trial at the next span Jones et al. Page 8
J Atten Disord . Author manuscript; available in PMC 2019 December 01.
Author Manuscript Author Manuscript Author Manuscript Author Manuscript",paper1.pdf,8
"level. For example, if a child successfully completed six trials with three actions (this counts 
three towards the dependent variable), completes one correct trial with four actions (this 
counts 0.25 towards the dependent variable), then fails the subsequent trials with four 
actions, their score would be a span of 3.25 ( Holmes, Gathercole, & Dunning, 2009 ; see also 
Ramani, Jaeggi, Daubert, & Buschkuehl, 2017 ). Parallel-test versions (counterbalanced 
across participants) were used for pre- and posttest, and for the delayed posttest, the version 
used at pretest was administered.
Far Transfer to ADHD Symptoms.— Three standardized parent questionnaires were 
administered at pretest and at the delayed posttest three months after the training had ended, 
providing insight into whether there were any observable behavioral differences resulting 
from cognitive training. Here we focus on specific sub-scales measuring ADHD symptoms 
related to executive functioning, but for completeness, the descriptive data for all scales are 
provided in SOM Table 3.
The CBCL assesses behavioral problems in children. Cronbach’s alpha for the narrow scales 
(syndrome and DSM-oriented) is reported as 0.83, and for the broad scales (internalizing, 
externalizing, and total problems), it is 0.94 ( Bullard, Griss, Greene, & Gekker, 2013 ). The 
Behavior Rating Inventory of Executive Function (BRIEF; Gioia, Isquith, Guy, & 
Kenworthy, 2000 ) measures executive functioning in children. Cronbach’s alpha for the 
scales range from 0.80–0.98 ( Gioia et al., 2000 ). The CPRS–R:L provides seven scales: 
oppositional, cognitive problems/inattention, hyperactivity-impulsivity, anxious-shy, 
perfectionism, social, and psychosomatic problems. Cronbach’s alpha for the scales range 
from 0.75–0.95 ( Conners et al., 1998 ).
For the purpose of the present paper, specific scales were selected for analyses based on our 
hypotheses. Parent report of executive functioning was measured using the BRIEF Executive 
Functioning sub-scale. As we were interested in inattention and hyperactivity, we used 
composite z-scores from the following scales: attention problems and ADHD problems from 
the CBCL and the inattention and hyperactivity scales from the CPRS–R:L. This approach 
was taken to minimize familywise error inflation, reducing the overall number of 
comparisons. However, for completeness, the descriptive results of all scales are reported in 
SOM Table 3.
School-Related Far Transfer Tasks.— Three school-related tasks were administered. 
For analyses, a composite score for academic ability was created using z-scores from the 
Woodcock Johnson III Passage Comprehension, Math Applied Problem Solving, and 
Reading Fluency ( Woodcock et al., 2003 ). Individual test reliabities using a split half 
method are reported as 0.80 or higher ( Grenwelge, 2009 ). For all school-related tasks, 
parallel-test versions (counterbalanced across participants) were administered for pre- and 
post-test, and for the delayed posttest, the version used at pretest was administered. The 
Passage Comprehension subtest of the Woodcock Johnson III was used to measure 
participants’ reading comprehension. Participants read progressively more challenging 
passages and answered questions about them. The cut-off for this task was six sequential 
incorrect responses within a set, and the dependent variable was the total number of correct 
responses. The Math Applied Problem Solving subset of the Woodcock Johnson III was Jones et al. Page 9
J Atten Disord . Author manuscript; available in PMC 2019 December 01.
Author Manuscript Author Manuscript Author Manuscript Author Manuscript",paper1.pdf,9
"used to measure participants’ broad math skills. Participants solved math word problems. 
The cut-off for this task was six sequential incorrect responses in a set, and the dependent 
variable was the total number of correct responses. The Reading Fluency subtest of the 
Woodcock Johnson III was used to measure participants’ automaticity in reading simple 
sentences. Participants were given three minutes to read simple sentences and judge if those 
sentences were true or false. The dependent variable was the number of correctly answered 
questions.
Far Transfer to Matrix Reasoning.— Participants were presented with incomplete, 
abstract patterns to be completed by selecting the missing part that logically completes the 
pattern or series. We used two standardized versions, the Ravens Standard Progressive 
Matrices (SPM; Raven, 2000 ) and the Test of Nonverbal Intelligence (TONI; Brown, 2003 ) 
The odd-even split-half corrected coefficient of reliability for SPM is 0.96 ( Raven, 2000 ), 
and Cronbach’s alpha for TONI is reported in the 0.80 and 0.90 range ( Brown, 2003 ). The 
cut off for the Ravens was 10 minutes, and the cut off for the TONI was three incorrect 
answers out of a sequence of five items. The dependent measure was the amount of correctly 
solved problems. We created a composite score for matrix reasoning using standardized z-
scores averaging the scores of both measures. These tasks were administered at pretest, 
posttest, and at delayed posttest. Parallel-test versions (counterbalanced across participants) 
were administered for pre- and posttest, and for the delayed posttest, the version used at 
pretest was administered.
Results
Primary Analyses
Data were analyzed using IBM SPSS Statistics Version 22 and JASP Version 0.8.5.1. 
Descriptive data for the near and far transfer tasks are provided in SOM tables 1, 2, and 3. 
SOM tables 4 and 5 provide correlations between outcome measures at pretest, training gain, 
and gains on outcome measures. Note that there were no significant differences between 
groups on any of the variables of interest at pretest (all ps > .20). We interpret significance at 
the p < 0.05 level, but as this is an exploratory study, we provide the reader with rich 
information with which to assess our findings. This includes uncorrected p-values and p-
values corrected for multiple comparisons using the Hochberg-Benjamini method ( Hochberg 
& Benjamini, 1990 ), and in addition, we conducted Baysean analyses using default priors in 
JASP, which allow us to report Bayes Factors that quantify evidence for and against the null 
hypothesis ( Wagenmakers et al., 2017 ).
First, data were analyzed to test whether any significant group differences existed at pretest. 
Both groups completed an equivalent number of training sessions (experimental group: 
mean : 19.15; SD: 2.69; control group: mean : 19.62, SD: 1.71; t(78) = −0.93, p = 0.36, d = 
0.21). On average, children with ADHD improved by approximately half an n-back level, 
which is slightly below the improvement that has been observed in typically developing 
children ( Jaeggi et al., 2011 ). Then, our general approach to testing for differences between 
the training and the control group resulting from cognitive training was to conduct two-
group analyses of covariance. We analyzed the posttest performance using pretest as a Jones et al. Page 10
J Atten Disord . Author manuscript; available in PMC 2019 December 01.
Author Manuscript Author Manuscript Author Manuscript Author Manuscript",paper1.pdf,10
